,0,1,2,3
108,LVII_84,when,1198-03-16,fol_161r
109,CCCXLIIII_306,when,1198-06-01,none
110,LXV_92,when,1198-08-16,fol_195r
111,CCCCVI_367,when,1198-08-24,fol_327r
112,CCCLXXV_337,notBefore,1199-01-01,fol_315v
113,XXV_54,when,1199-06-29,fol_075v
114,CCCLXVI_328,when,1199-11-30,fol_312r
115,LXII_89,when,1199-11-30,fol_191v
116,CCCXLVI_308,notBefore,1200-01-01,fol_305v
117,CCLXIIIIbis_226,when,1200-01-20,fol_269r
118,LXXXX_107,when,1200-03-15,fol_205v
119,CCLXXVIIII_241,when,1200-03-20,fol_274v
120,CCCLXXXXI_352,when,1200-06-03,none
121,DXXXVIIII_500,when,1201-02-23,fol_399v
122,LVI_83,when,1201-06-04,fol_159v
123,CXLIII_161,when,1201-06-08,fol_241r
124,LXIIII_91,when,1201-06-24,fol_194v
125,CCLXIII_224,when,1202-04-27,none
126,DXXXVIII_499,when,1202-04-30,fol_398v
127,DXXXX_501,when,1202-05-31,fol_400v
128,CCCCLVI_417,when,1202-06-04,fol_354v
129,CCCLXVII_329,when,1202-06-05,none
130,CCCCXI_372,when,1202-06-09,none
131,LXXXXIIII_111,when,1202-07-05,fol_209r
132,CCLXIIII_225,when,1202-12-03,none
133,III_32,when,1203-03-07,fol_060r
134,CCLXVIII_230,when,1203-03-28,none
135,CCCCLXII_423,when,1203-05-13,fol_357v
136,CCCCXXXVIII_399,when,1203-08-17,fol_343r
137,VII_36,when,1203-10-16,fol_061v
138,XXXXIII_71,when,1203-11-11,fol_133r
139,CCCLXVIII_330,when,1203-11-15,none
140,DXXXVII_498,when,1204-03-26,none
141,CCCLXIIII_326,when,1204-04-15,fol_311v
142,CCCCXII_373,when,1204-07-09,fol_330v
143,CCLXXXIII_245,when,1205-03-03,fol_276r
144,CCCVIIII_271,when,1205-03-24,fol_286v
145,LXXXVIII_105,when,1206-03-31,fol_203v
146,DXXVIIII_490,when,1206-07-22,fol_394v
147,CCCCLII_413,when,1208-07-17,fol_353r
148,CCLXXVI_238,when,1209-03-05,none
149,CCLXXV_237,when,1209-03-05,fol_273v
150,CCCLXV_327,when,1209-08-04,none
151,CCXLVIIII_210,when,1210-06-13,none
152,DIIII_465,when,1211-08-08,fol_377r
153,DXXXVI_497,when,1211-12-19,fol_398r
154,CCLXXXIIII_246,when,1212-02-18,none
155,CCCCLIIII_415,when,1212-04-03,fol_353v
156,CI_118,when,1212-04-03,fol_216r
157,CCXXXIII_194,from,1214-02-26,fol_256v
158,CCCVII_269,when,1214-03-20,none
159,CCCCLXV_426,when,1214-09-01,fol_358v
160,CCCXLVII_309,when,1215-02-24,fol_306r
161,CCCXLV_307,when,1215-07-23,fol_305r
162,IV_33,when,1217-03-04,fol_061r
163,CCCCLXXXXII_453,when,1217-07-26,fol_371r
164,CCCX_272,when,1217-10-24,none
165,CCCXXVIII_290,when,1217-10-27,fol_298r
166,CCCXXVII_289,when,1217-10-27,fol_297r
167,CCCLVII_319,when,1218-02-11,none
168,CCCCLXXXXIII_454,when,1218-03-24,fol_372v
169,LXXX_97,when,1218-05-29,fol_199v
170,CCCCLXXII_434,when,1218-08-06,fol_361v
171,CCXLII_203,when,1219-01-16,none
172,LIII_80,when,1219-03-08,fol_157r
173,LV_82,when,1219-04-26,fol_159r
174,LIIII_81,when,1219-05-01,fol_158r
