,0,1,2,3,4,5,6,7,8,9
164,Albertesca,Albertesca / Albertosca,uxor Guidi Malapartis,F,,,CCCCLXXXXV_456,1259-10-27,1,['CCCCLXXXXV_456']
165,AlbertoscaPetri,Albertesca / Albertosca,filia quondam Petri olim domini Alberti,F,,,CCLXXXVIIII_251,1255-05-05,1,['CCLXXXVIIII_251']
166,AlbertellusPignoto,Albertellus,Albertellus de Pignoto,M,,,CCCI_263,1180-01-01,1,['CCCI_263']
167,AlbertetusBenadii,Albertetus,Benadii,M,,,CCCCXL_401,1230-04-30,1,['CCCCXL_401']
168,Alberticus_Massa_notarius,Alberticus,de Massa marchionum,M,gloriosissimi Friderici Romanorum imperatoris notarius,"Attestato in un'autentica non datata, collocabile tuttavia da elementi interni
              all'ultimo quarto del XII secolo.",DXXX_491,1185-07-29,1,['DXXX_491']
169,AlbertinaMartini,Albertina,quondam Martini de Valmoro,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
170,Albertinellus,Albertinellus,,M,,,CCCXLVIIII_311,1150-01-01,4,"['CCCXLVIIII_311', 'DVIII_469', 'CCCLXXIIII_336', 'B02']"
171,AlbertinellusBerzola,Albertinellus,de Berzola,M,,,CCCXLVIIII_311,1150-01-01,1,['CCCXLVIIII_311']
172,AlbertinellusCala,Albertinellus,frater Mauricii de la Cala,M,,,CCCLXXIIII_336,1197-05-13,1,['CCCLXXIIII_336']
173,AlbertinellusSupravia,Albertinellus,de Supravia,M,,,CCCXLVIIII_311,1150-01-01,1,['CCCXLVIIII_311']
